Job Title,Job Title Group
Knowledge Mgmt Assistant,Information management
Knowledge Mgmt Officer,Information management
Laboratory Officer,Health
Laboratory Technician,Health
LAN Assistant,Information Technology
LAN Officer,Information Technology
Learning Resource Advisor,Education
Learning Resource Assistant,Education
Learning Resource Officer,Education
Legal Advisor,Legal
Legal Assistant,Legal
Legal Officer,Legal
Legal & Procurement Advisor,Legal
Legal & Procurement Assistant,Legal
Legal & Procurement Officer,Legal
Liaison Advisor,Logistics
Liaison Assistant,Logistics
Liaison Officer,Logistics
Library Assistant,Education
Logistics Advisor,Logistics
Logistics Assistant,Logistics
Logistics Officer,Logistics
Machine Operator,Logistics
Mail Clerk,Administrative
Management Advisor,Programme management
Management Assistant,Programme management
Management Officer,Programme management
Managing Editor,Public Information
UN Coordination Officer,Fundraising & Marketing
Volunteer Network Specialist,Fundraising & Marketing
Camp Manager,Socio-economic
Mechanic,Logistics
Media Relations Advisor,Public Information
Media Relations Assistant,Public Information
Media Relations Officer,Public Information
Medical Doctor,Health
Civil Affairs Assistant,Socio-economic
Midwife,Health
Mine Action Expert,Others
Mine Awareness Officer,Education
Mine Risk Education Officer,Education
Mine Victims Asst Assistant,Others
Monitoring And Eval Advisor,M & E
Monitoring And Eval Assistant,M & E
Monitoring And Eval Officer,M & E
MOVCON Officer,Others
Civil Affairs Officer,Socio-economic
Network Advisor,Information Technology
Network Assistant,Information Technology
Network Officer,Information Technology
Nurse,Health
Nutrition Officer,Health
Office Automation Assistant,Administrative
Operations Advisor,Administrative
Operations Assistant,Administrative
Operations Officer,Administrative
Organizational Dvlpmt. Officer,Programme management
Outreach Assistant,Public Information
Outreach Officer,Public Information
Paramedic,Health
Payroll Officer,Finance/Budget
Peace Building Officer,Political Affairs
Personal Assistant,Administrative
Pharmacist,Health
Photographer,Logistics
Planning Advisor,Programme management
Planning Assistant,Programme management
Planning Officer,Programme management
Policy Advisor,Programme management
Policy Assistant,Programme management
Policy Officer,Programme management
Political Affairs Officer,Political Affairs
Pop & Develop Strategy Expert,Programme management
Portfolio Assistant,Programme management
Portfolio Officer,Programme management
Cluster Manager,Socio-economic
Demographer,Socio-economic
Distribution Assistant,Socio-economic
Prev. SexExploit.& Abuse Off.,Health
